benefits_n_reviews,benefits_rating,ceo_score,company,cotype,culture_score,employee_count,end_date,founded,industry,interview_difficulty,interview_n_reviews,location,negative_xp,neutral_xp,number_reviews,positive_xp,recommendation,revenue,reviewscon,reviewspro,start_date,ticker,website,year
488,4.7,91,Facebook, Company - Public (FB) ,4.4,10000+ employees,10/22/17, 2004, Internet, 3.1,"5,197","Menlo Park, CA",21,22,1445,57,87, $10+ billion (USD) per year,Work life balance can be better sometimes long hours and disconnect to overall strategy,Free food great atmosphere like a university campus Working with really smart people,11/1/16,FB,www.facebook.com,
2303,4.5,91,Apple, Company - Public (AAPL) ,4.0,10000+ employees,10/22/17, 1976, Computer Hardware & Software, 3.0,"7,031","Cupertino, CA",15,20,14921,65,77, $10+ billion (USD) per year,Work life balance is non existent working in a mall with long hours,Great company with great benefits It s a really fun work environment,11/1/16,AAPL,www.apple.com,
1610,4.1,91,Accenture, Company - Public (ACN) ,3.8,10000+ employees,10/22/17, 1989, Consulting, 2.8,"12,428","Dublin, Co. Dublin (Ireland)",13,17,5654,70,78, $10+ billion (USD) per year,High work volumes which can at times impact work life balance Sometimes I have long working hours,Work life balance is well maintained Good work culture for employees,11/1/16,ACN,www.accenture.com,
241,4.0,94,CDW, Company - Public (CDW) ,3.9,5001 to 10000 employees,10/22/17, 1984, IT Services, 2.7,600,"Lincolnshire, IL",10,17,1914,73,78, $10+ billion (USD) per year,The only con is the base salary for AM s not enough exposure to different Account Managers unless you go looking for it,I loved my time at this great company not many companies can compete with work life balance The family like culture makes CDW a great place to work,11/1/16,CDW,www.cdw.com,
428,4.3,87,Travelers, Company - Public (TRV) ,3.8,10000+ employees,10/22/17, 1853, Insurance Carriers, 3.0,"1,068","Hartford, CT",18,22,2438,60,75, $10+ billion (USD) per year,Work Life Balance is emphasized but many roles don t afford this luxury Primary office location in Hartford,You d expect to get great benefits from a company with 30k employees and you d right Work life balance better than industry,11/1/16,TRV,www.travelers.com,
1354,4.4,95,T-Mobile, Company - Public (TMUS) ,4.0,10000+ employees,10/22/17, 2001, Telecommunications Services, 2.7,"1,688","Bellevue, WA",15,17,4542,68,84, $10+ billion (USD) per year,work life balance can be better Sometimes upper management gives contraction in orders,Great Benefits come with the job Great opportunity great atmosphere nice people great pay,11/1/16,TMUS,www.tmobile.careers,
290,4.2,86,Toyota North America, 1957,3.6,10000+ employees,10/22/17,, Company - Public (TM) , 2.9,437,"Plano, TX",12,18,838,70,63, Transportation Equipment Manufacturing,Poor work life balance for many of the positions Long hours needed to hit your bonuses,They have great benefits for Team Members along with a best in class work life balance Work life balance is amazing you can flex your time and work from home,11/1/16,,www.toyota.com/usa/careers,
1897,4.1,89,Deloitte, Company - Private,3.8,10000+ employees,10/22/17, 1850, Accounting, 3.0,"11,000","New York, NY",11,18,30426,71,79, $10+ billion (USD) per year,You won t really have a perfect work life balance if you wish to succeed here in Deloitte Long working hours are expected,Great work life balance at Deloitte Employee friendly good work culture,11/1/16,,www.deloitte.com,
298,4.1,93,Stryker, Company - Public (SYK) ,3.9,10000+ employees,10/22/17, 1941, Health Care Products Manufacturing, 3.3,"1,300","Portage, MI",23,25,2153,52,76, $10+ billion (USD) per year,Shift pattern can be hard to achieve a good work life balance sometimes long hours but overall good,Flexible timing work life balance Great company with a great mission to make healthcare better,11/1/16,SYK,www.stryker.com,
273,3.7,53,J. Crew, Company - Private,3.7,10000+ employees,10/22/17, 1983," Department, Clothing, & Shoe Stores", 2.2,678,"New York, NY",8,15,2476,77,67, $2 to $5 billion (USD) per year,Lack of benefits for part time employees At the time I worked there you had on call shifts which could be a bit irritating,Great discount and gave monthly items Also offered a nice employee discount,11/1/16,,www.jcrew.com,
187,3.4,95,Slalom, Company - Private,4.3,5001 to 10000 employees,10/22/17, 2001, Consulting, 2.8,983,"Seattle, WA",15,8,1257,77,84, $1 to $2 billion (USD) per year,Lower salary compared to market industry Some roles can be more staff aug rather than consulting Our current 401k match is 50 of contributions up to 6 of your salary in total,Higher management really care about your work life balance Collaborative space with great people,11/1/16,,www.slalom.com,
154,3.7,90,Extra Space Storage, Company - Public (EXR) ,4.1,1001 to 5000 employees,10/22/17, 1977, Real Estate, 2.7,175,"Salt Lake City, UT",22,10,1030,68,82, $1 to $2 billion (USD) per year,Schedules as we don t have Saturdays off It s really all about who upper management likes best is how you move up in this company,Work life balance family is important We are closed on Sundays which makes a perfect family day,11/1/16,EXR,www.extraspace.com,
512,3.0,90,Chick-fil-A, Company - Private,3.9,5001 to 10000 employees,10/22/17, 1946, Fast-Food & Quick-Service Restaurants, 2.2,"1,331","Atlanta, GA",11,15,5449,74,75, $5 to $10 billion (USD) per year,Fast paced that may not be for everyone Long hours of standing on your feet,Superb customer service at all times You get free food on breaks every shift you work,11/1/16,,www.chick-fil-a.com,
391,4.2,93,Hyatt, Company - Public (H) ,3.9,10000+ employees,10/22/17, 1957," Hotels, Motels, & Resorts", 2.4,571,"Chicago, IL",12,14,2841,74,77, $2 to $5 billion (USD) per year,Unexpected shifts and long hours Work life balance will always be challenging in the hospitality industry where we offer services 24 7,There are a lot of great benefits Great company to work for in every department,11/1/16,H,www.hyatt.com,
191,2.9,90,BAYADA Home Health Care, Company - Private,4.1,10000+ employees,10/22/17, 1975, Health Care Services & Hospitals, 2.6,292,"Moorestown, NJ",17,15,1677,68,81, $1 to $2 billion (USD) per year,Office staff is very friendly willing to work with under certain circumstances Industry wide low pay for some positions,Also so much recognition given not just to the field staff but office staff as well from upper management Flexible Schedule Paid Time Off Overtime,11/1/16,,www.bayada.com,
207,4.0,92,Wegmans Food Markets, Company - Private,4.0,10000+ employees,10/30/16, 1916, Grocery Stores & Supermarkets, 2.7,565,"Rochester, NY",14,18,2202,68,82, $5 to $10 billion (USD) per year,I only left to secure a full time position in my current field Not a lot of upward mobility for part time employees,The allow for very flexible scheduling flexible hours and mostly nice people,11/2/15,,jobs.wegmans.com,
729,3.9,91,Morgan Stanley, Company - Public (MS) ,3.7,10000+ employees,10/21/18, 1935, Investment Banking & Asset Management, 3.1,"3,446","New York, NY",12,25,6579,63,73, $10+ billion (USD) per year,Sometimes long hours can be a burden Like all banks work life balance can be a challenge,Good work life balance and Salary Great work environment with decent pay,10/23/17,MS,www.morganstanley.com,
251,4.8,91,World Wide Technology, Company - Private,3.8,5001 to 10000 employees,10/21/18, 1990, Computer Hardware & Software, 2.8,180,"Maryland Heights, MO",24,13,896,63,72, $10+ billion (USD) per year,It is seeming to get a little bit better as of late but it is visible on the floor that not everyone is a fit for WWT Wait that there job i understand the the core values but that also is a funny subject,WWT has great people who work hard but also are fun to be around Consistent messaging around leadership and Core Values,10/23/17,,www.wwt.com,
1284,4.5,83,Kaiser Permanente, Nonprofit Organization,3.9,10000+ employees,10/21/18, 1945, Health Care Services & Hospitals, 2.9,"1,479","Oakland, CA",14,18,6214,68,77, $10+ billion (USD) per year,Work life balance is not always present in all department upper management is a nightmare part time and full time RNs are always upset,For IT employees Kaiser has great benefits Flexible schedules that provide great work life balance,10/23/17,,www.kaiserpermanente.org,
38,3.9,97,FLIK Hospitality Group, Unknown,4.3,1001 to 5000 employees,10/21/18,, Unknown, 2.5,35,"Rye Brook, NY",14,17,449,69,91, Casual Restaurants,there are no cons at the moment Rapid expansion can pull the attention of upper management,Great Company with a strong work life balance ethic Great company I have stuck around for 40 plus years because there is no better place to work,10/23/17,,www.flik-usa.com,
79,3.6,90,Raising Cane's, Company - Private,3.8,10000+ employees,10/21/18, 1996, Casual Restaurants, 2.0,238,"Baton Rouge, LA",13,14,837,73,74, $1 to $2 billion (USD) per year,Very high standards and fast paced work environment Long hours but because of it I get 3 days off each week,Fun work environment with lots of opportunity for growth as the company is still growing Fun job fast paced great management,10/23/17,,www.raisingcanes.com,
1146,3.9,96,EY, Company - Private,3.7,10000+ employees,10/21/18, 1989, Accounting, 2.8,"8,331","London, England (UK)",9,18,22618,73,78, $10+ billion (USD) per year,Have to work at work life balance Long working hours during business season,Work life balance is heavily promoted on my team Good work environment with great peopl,10/23/17,,www.ey.com,
377,4.2,92,Chevron, Company - Public (CVX) ,4.0,10000+ employees,10/21/18, 1879, Oil & Gas Exploration & Production, 2.8,618,"San Ramon, CA",7,17,2497,76,82, $10+ billion (USD) per year,Since the down of oil prices they cut down facilities and salaries for intern Work Life Balance was not so easy,Competitve pay with good work life balance Good and standard work environment,10/23/17,CVX,www.chevron.com,
31,4.0,96,BOK Financial, Company - Public (BOKF) ,4.1,1001 to 5000 employees,10/21/18, 1910, Banks & Credit Unions, 2.7,31,"Tulsa, OK",13,13,188,74,80, $100 to $500 million (USD) per year,I would like to see us continue to grow in other major cities in Texas to create additional opportunities for upper management positions Sales culture high turnover lack of respect for employees in branches,Flexibility in work schedules work life balance Great company to be able to spend the last 15 years with,10/23/17,BOKF,www.bokf.com,
