benefits_n_reviews,benefits_rating,ceo_score,company,cotype,culture_score,employee_count,end_date,founded,industry,interview_difficulty,interview_n_reviews,location,negative_xp,neutral_xp,number_reviews,positive_xp,recommendation,revenue,reviewscon,reviewspro,start_date,ticker,website,year
1243,4.6,92,Google, Company - Public (GOOG) ,4.4,10000+ employees,10/21/18, 1998, Internet, 3.3,"9,869","Mountain View, CA",16,23,9301,61,86, $10+ billion (USD) per year,Work life balance is questionable It s a big company with inexperienced management,It s great they always have free food Very smart people with great work life balance,10/23/17,GOOG,www.google.com,
488,4.7,91,Facebook, Company - Public (FB) ,4.4,10000+ employees,10/21/18, 2004, Internet, 3.1,"5,197","Menlo Park, CA",21,22,1445,57,87, $10+ billion (USD) per year,Work life balance can be better sometimes long hours and disconnect to overall strategy,Free food great atmosphere like a university campus Working with really smart people,10/23/17,FB,www.facebook.com,
319,4.7,97,LinkedIn, 2003,4.3,10000+ employees,10/21/18,, Subsidiary or Business Segment, 3.0,"1,657","Mountain View, CA",32,15,2519,53,84, Internet,High targets work life balance little visibility into how decisions are made by higher management After awhile you see how poorly trained some of the middle management it,You can have a very good work life balance Smart colleagues challenging problems to solve lots of free food,10/23/17,,www.linkedin.com,
167,4.7,94,Boston Consulting Group, Company - Private,4.2,Unknown,10/21/18, 1963, Consulting, 3.7,"1,600","Boston, MA",12,17,2186,71,83, $5 to $10 billion (USD) per year,Tough work life balance typical to consulting Long hours same as any top tier consulting firm,Working with Wonderful smart people very supportive culture with great people that want to help you grow and succeed,10/23/17,,www.bcg.com,
75,4.8,94,Procore Technologies, Company - Private,4.1,1001 to 5000 employees,10/21/18, 2002, Computer Hardware & Software, 2.9,349,"Carpinteria, CA",19,9,350,72,78, Unknown / Non-Applicable,These are not cons as such but be prepared to embrace that Procore has an American culture which is very enthusiastic no cons I can currently think of,As an employee that has been at Procore for 5 Great Work Life Balance and amazing location,10/23/17,,www.procore.com,
156,4.3,95,In-N-Out Burger, Company - Private,4.3,10000+ employees,10/21/18, 1948, Fast-Food & Quick-Service Restaurants, 2.3,408,"Irvine, CA",7,15,1414,78,88, $100 to $500 million (USD) per year,fast paced environment you are not off the shift until the manager says so You have to work your way into a full time position,its a good company great pay flexible schedules Fast paced work environment with good pay,10/23/17,,www.in-n-out.com,
32,4.4,96,Zoom Video Communications, Company - Public (ZM) ,4.7,1001 to 5000 employees,10/21/18, 2011, IT Services, 2.8,76,"San Jose, CA",32,3,239,65,94, Unknown / Non-Applicable,Growing pains things are constantly changing No 401k match or tuition reimbursement,Zoom puts all of those companies to shame The product is incredible and the mantra of Delivering Happiness is completely legit,10/23/17,ZM,www.zoom.us,
113,4.8,99,Bain & Company, Company - Private,4.6,5001 to 10000 employees,10/21/18, 1973, Consulting, 3.6,"1,203","Boston, MA",7,18,2679,75,94, $2 to $5 billion (USD) per year,Client service model can mean long hours Work life balance pode melhorar,Great people amp team A Bainie never lets another Bainie fail World class professional development,10/23/17,,www.bain.com,
547,3.8,86,FedEx, Company - Public (FDX) ,3.7,10000+ employees,, 1973, Express Delivery Services, 2.5,887,"Memphis, TN",12,18,4438,70,73, $10+ billion (USD) per year,Sometimes you have to work long hours moving heavy boxes Living in Memphis is kind of scary,They emphasize the work life balance Great benefits and work environment,,FDX,www.fedex.com,2009
1610,4.1,91,Accenture, Company - Public (ACN) ,3.8,10000+ employees,, 1989, Consulting, 2.8,"12,428","Dublin, Co. Dublin (Ireland)",13,17,5654,70,78, $10+ billion (USD) per year,High work volumes which can at times impact work life balance Sometimes I have long working hours,Work life balance is well maintained Good work culture for employees,,ACN,www.accenture.com,2009
719,4.6,96,Salesforce, Company - Public (CRM) ,4.3,10000+ employees,, 1999, Computer Hardware & Software, 3.2,"5,489","San Francisco, CA",9,5,5124,86,86, $10+ billion (USD) per year,Difficult to maintain work life balance There is no cons for working here,Salesforce is really a healthy organization The work life balance is amazing,,CRM,www.salesforce.com,2009
2000,3.6,77,Best Buy, Company - Public (BBY) ,3.8,10000+ employees,, 1966, Consumer Electronics & Appliances Stores, 2.4,"4,511","Richfield, MN",11,20,19820,69,78, $10+ billion (USD) per year,New hires that are scheduled full time only getting 15 25 hours a week for a few months its really harsh Positions are only part time when starting,Great employee discount after 30 days Great discount especially for a college student,,BBY,www.bestbuy.com,2009
3172,3.9,72,Wells Fargo, Company - Public (WFC) ,3.6,10000+ employees,, 1852, Banks & Credit Unions, 2.8,"6,224","San Francisco, CA",14,22,21903,64,67, $10+ billion (USD) per year,The sales goals of previous years hinder the company ability to regain trust in their customers Bonuses only for upper management,Great company to work for with great benefits Great company with good benefits,,WFC,www.wellsfargojobs.com,2009
1897,4.1,89,Deloitte, Company - Private,3.8,10000+ employees,, 1850, Accounting, 3.0,"11,000","New York, NY",11,18,30426,71,79, $10+ billion (USD) per year,You won t really have a perfect work life balance if you wish to succeed here in Deloitte Long working hours are expected,Great work life balance at Deloitte Employee friendly good work culture,,,www.deloitte.com,2009
3977,4.4,81,US Army, Government,3.9,10000+ employees,, 1775, Unknown, 2.1,"1,634","Washington, DC",6,26,21207,68,79, Unknown / Non-Applicable per year,Long hours were very consistent Time away from family might hinder opportunities,The United States Army provides great benefits Job security with good health benefits,,,www.army.mil,2009
214,4.0,92,Texas Instruments, Company - Public (TXN) ,4.0,10000+ employees,, 1930, Electrical & Electronic Manufacturing, 3.0,"1,126","Dallas, TX",8,21,2349,71,77, $10+ billion (USD) per year,Poor work life balance in the fabs Always under constant stress and worries upper management will come down at you for every little thing,TI provides the best work life balance It has very good work environment,,TXN,www.ti.com,2009
929,3.7,86,Lockheed Martin, Company - Public (LMT) ,3.8,10000+ employees,, 1995, Aerospace & Defense, 2.6,"1,648","Bethesda, MD",9,17,5988,74,73, $10+ billion (USD) per year,Typical large company issues that you will face anywhere Long hours that can lead to a hard work life balance,LM has been very flexible and focuses on work life balance Good benefits good work life balance,,LMT,www.lockheedmartin.com,2009
434,3.9,88,MetLife, Company - Public (MET) ,3.6,10000+ employees,, 1868, Insurance Agencies & Brokerages, 2.7,763,"New York, NY",17,23,3436,60,72, $10+ billion (USD) per year,Not very flexible for work life balance Lack of communication with upper management,The department I work in really believes in work life balance good benefits and work environment,,MET,www.metlife.com,2009
775,3.9,63,Qualcomm, Company - Public (QCOM) ,3.8,10000+ employees,, 1985, Computer Hardware & Software, 3.1,"2,019","San Diego, CA",13,24,5039,63,71, $10+ billion (USD) per year,Employee should learn work life balance long hours little growth for non engineer,Good work life balance and we can learn more Good benefits for the employees,,QCOM,www.qualcomm.com,2009
518,4.5,73,USAA, Company - Private,3.6,10000+ employees,, 1922, Insurance Carriers, 2.8,"1,016","San Antonio, TX",17,17,2746,66,65, $10+ billion (USD) per year,The first year on the phones are the hardest if you do not have previous call center experience Some managers,Great benefits good pay good to employee work life balance is good but watch out where you work for flexibility,,,www.usaajobs.com,2009
1745,4.2,91,Cisco Systems, Company - Private,4.0,10000+ employees,, 1984, Computer Hardware & Software, 3.0,"3,366","San Jose, CA",11,19,6186,70,80, $10+ billion (USD) per year,Work Life balance can be challenging at times Big company going through major business transition,Work life balance is generally good with Cisco IT With best IT environment providing very flexible work style,,,www.cisco.com,2009
730,4.0,93,American Express, Company - Public (AXP) ,4.0,10000+ employees,, 1850, Financial Transaction Processing, 3.0,"1,901","New York, NY",18,18,6925,64,80, $10+ billion (USD) per year,Can do more with work life balance Decision making can be a little slow at times but they are working on that,Work life balance is very nice here Best work environment as employees feel respected,,AXP,www.americanexpress.com,2009
1291,4.0,93,PwC, Company - Private,3.8,10000+ employees,, 1998, Accounting, 2.9,"8,610","New York, NY",9,18,23110,73,79, $5 to $10 billion (USD) per year,they have very long working hours Little focus on work life balance,Great work environment in the company Great people good mentorship culture,,,www.pwc.com,2009
143,3.6,80,National Instruments, Company - Public (NATI) ,3.6,5001 to 10000 employees,, 1976, Electrical & Electronic Manufacturing, 3.0,715,"Austin, TX",8,19,1357,73,65, $1 to $2 billion (USD) per year,Low salary all the opportunities are in Austin only Low pay plus as an intern you will not be given that many important responsibilities,Great work life balance with very flexible work hours Incredible people incredible work environment,,NATI,www.ni.com,2009
711,3.7,88,Booz Allen Hamilton, Company - Public (BAH) ,3.7,10000+ employees,, 1914, Consulting, 2.7,"1,324","Mc Lean, VA",14,17,4689,69,69, $5 to $10 billion (USD) per year,Work life balance is hard to maintain Burns through people by chasing awful work to maintain company revenue after going public,Great people and great work life balance Great benefits and family life balance when needed,,BAH,www.boozallen.com,2009
442,3.9,54,Schlumberger, Company - Public (SLB) ,3.5,10000+ employees,, 1926, Oil & Gas Services, 2.9,"1,928","Houston, TX",9,18,5203,73,64, $10+ billion (USD) per year,Sometimes your work life balance suffer No life plenty of work never home long hours,Good pay and career opportunities Great work environment people,,SLB,www.slb.com,2009
308,4.2,83,Citrix, Company - Public (CTXS) ,3.7,5001 to 10000 employees,, 1989, Computer Hardware & Software, 3.0,742,"Fort Lauderdale, FL",21,19,2537,60,72, $2 to $5 billion (USD) per year,There is no work life balance at all Middle management struggle to take control and take credit,Excellent work life balance at Citrix Very laid back work environment,,CTXS,jobs.citrix.com,2009
1383,3.7,88,Nordstrom, Company - Public (JWN) ,3.6,10000+ employees,, 1901," Department, Clothing, & Shoe Stores", 2.5,"3,385","Seattle, WA",10,18,11124,72,66, $10+ billion (USD) per year,Returns that hurt your commission Long hours standing and no flexibility in schedule,Working with the best customer service team Great company morale employees work as a team to help each other,,JWN,www.nordstrom.com,2009
542,4.2,86,Goldman Sachs, Company - Public (GS) ,3.9,10000+ employees,, 1869, Investment Banking & Asset Management, 3.1,"4,588","New York, NY",11,26,5490,63,75, $10+ billion (USD) per year,May occasionally have long hours Work life balance could be improved,Smart people all around to stimulate motivation A great challenging work environment,,GS,www.goldmansachs.com,2009
377,4.2,92,Chevron, Company - Public (CVX) ,4.0,10000+ employees,, 1879, Oil & Gas Exploration & Production, 2.8,618,"San Ramon, CA",7,17,2497,76,82, $10+ billion (USD) per year,Since the down of oil prices they cut down facilities and salaries for intern Work Life Balance was not so easy,Competitve pay with good work life balance Good and standard work environment,,CVX,www.chevron.com,2009
178,4.2,33,MITRE, Nonprofit Organization,3.3,5001 to 10000 employees,, 1958, Federal Agencies, 2.8,230,"Bedford, MA",13,16,934,71,57, $1 to $2 billion (USD) per year,The seniors seem to forget what is like to be in the trenches solving problems for sponsors Lots of turnover in upper management,Great work life balance little to no overtime is expected Fair employment practices Low Stress for the most part Great Benefits,,,www.mitre.org,2009
1146,3.9,96,EY, Company - Private,3.7,10000+ employees,, 1989, Accounting, 2.8,"8,331","London, England (UK)",9,18,22618,73,78, $10+ billion (USD) per year,Have to work at work life balance Long working hours during business season,Work life balance is heavily promoted on my team Good work environment with great peopl,,,www.ey.com,2009
485,4.0,93,NIKE, Company - Public (NKE) ,3.9,10000+ employees,, 1972, Consumer Products Manufacturing, 2.6,"1,421","Beaverton, OR",11,16,4558,73,81, $10+ billion (USD) per year,long hours really hard but it isnt that bad We are open until 11PM so the work life balance is almost nonexistent,You get the best work environment Great team with an even better work life balance,,NKE,jobs.nike.com,2009
787,3.9,90,Marriott International, Company - Public (MAR) ,3.8,10000+ employees,, 1927," Hotels, Motels, & Resorts", 2.6,"1,466","Bethesda, MD",11,16,6889,73,75, $10+ billion (USD) per year,Long hours pay is alright to good Sometimes a hard Work Life balance,Good company great benefits compensation Good benefits vacation time bonus,,MAR,www.marriott.com,2009
221,4.2,80,Juniper Networks, Company - Public (JNPR) ,3.7,5001 to 10000 employees,, 1996, $2 to $5 billion (USD) per year, 3.1,476,"Sunnyvale, CA",17,18,2176,65,72,,Work life balance is little messed up Work gets repetitive and upper management sometimes meddles a lot in your work,Work life balance is maintained Good work environment and exposure,,JNPR,www.juniper.net,2009
2303,4.5,91,Apple, Company - Public (AAPL) ,4.0,10000+ employees,, 1976, Computer Hardware & Software, 3.0,"7,031","Cupertino, CA",15,20,14922,65,77, $10+ billion (USD) per year,Work life balance is non existent working in a mall with long hours,Great company with great benefits It s a really fun work environment,,AAPL,www.apple.com,2009
179,4.2,26,CareerBuilder, Company - Private,2.4,1001 to 5000 employees,, 1995, Internet, 2.7,166,"Chicago, IL",22,17,1163,61,28, $100 to $500 million (USD) per year,Since our leveraged buyout by Apollo Global these reason to work here no longer exist 95 of the sales reps that were in my hiring class are gone,Amazing flexibility and work life balance Great Benefits Great Work Life Balance,,,hiring.careerbuilder.com,2009
410,4.3,91,Genentech, 1976,3.9,10000+ employees,,, Subsidiary or Business Segment, 3.1,706,"South San Francisco, CA",11,20,1934,69,74, Biotech & Pharmaceuticals,Work life balance varies greatly depending on your function or manager Hard to find opportunities for full time,Great benefits including good bonuses Amazing company to work for work life balance couldn t be better,,,www.gene.com,2009
417,3.9,75,Caterpillar, Company - Public (CAT) ,3.6,10000+ employees,, 1925, Industrial Manufacturing, 3.0,820,"Deerfield, IL",8,21,3546,71,70, $10+ billion (USD) per year,There headquarters is in Peoria Upper upper management was up in the clouds,Good work life balance excellent benefits Great benefits with pretty good pay,,CAT,www.caterpillar.com,2009
361,4.0,88,Procter & Gamble, Company - Public (PG) ,4.0,10000+ employees,, 1837, $10+ billion (USD) per year, 3.3,"2,698","Cincinnati, OH",9,21,6638,70,84,,algumas pessoas com a mentalidade muito fora da P G Work life balance could be improved,People at P G are known for being top notch they re always happy to help regardless of their ranking in the company Work life balance is well promoted,,PG,www.pg.com,2009
167,4.7,94,Boston Consulting Group, Company - Private,4.2,Unknown,, 1963, Consulting, 3.7,"1,600","Boston, MA",12,17,2186,71,83, $5 to $10 billion (USD) per year,Tough work life balance typical to consulting Long hours same as any top tier consulting firm,Working with Wonderful smart people very supportive culture with great people that want to help you grow and succeed,,,www.bcg.com,2009
147,4.3,84,FactSet, Company - Public (FDS) ,3.7,5001 to 10000 employees,, 1978, Financial Analytics & Research, 3.0,"1,079","Norwalk, CT",12,23,1529,65,78, $1 to $2 billion (USD) per year,Career growth is one of the drawback This has degraded the company s previous strength in work life balance,Aside from monetary compensation it maintains an excellent work life balance while always presenting challenging work Free lunch and snacks is a nice perk as well,,FDS,www.factset.com,2009
238,4.8,97,McKinsey & Company, Company - Private,4.5,10000+ employees,, 1926, Consulting, 3.8,"2,214","New York, NY",13,21,3585,66,91, Unknown / Non-Applicable,Can require long hours at times Work life balance is absolutely brutal,Working with incredibly smart people who are always pushing you to get to a better answer Great people truly global opportunities,,,www.mckinsey.com,2009
595,4.5,93,Intuit, Company - Public (INTU) ,4.3,5001 to 10000 employees,, 1983, Computer Hardware & Software, 3.0,"1,133","Mountain View, CA",24,16,4221,60,86, $2 to $5 billion (USD) per year,Some business units have less work life balance respect Too much pressure for middle management,The company has a good work life balance One of the best companies with great benefits,,INTU,www.intuit.com,2009
319,3.9,84,NetApp, Company - Public (NTAP) ,3.9,10000+ employees,, 1992, Enterprise Software & Network Solutions, 3.0,606,"Sunnyvale, CA",14,20,1252,66,78, $5 to $10 billion (USD) per year,gt Intense political infighting amongst middle management Move to cloud too late lot of middle management,Collaboration work life balance awesome product portfolio Great Place to start your career,,NTAP,www.netapp.com,2009
519,4.3,96,SAP, Company - Public (SAP) ,4.5,10000+ employees,, 1972, Computer Hardware & Software, 2.9,"2,184","Walldorf, Baden-Württemberg (Germany)",13,13,11351,74,92, $10+ billion (USD) per year,Work life balance sometimes is a problem Honestly no cons for this company,Good work life balance is encouraged Everything is good especially the work environment,,SAP,www.sap.com/careers,2009
1243,4.6,92,Google, Company - Public (GOOG) ,4.4,10000+ employees,, 1998, Internet, 3.3,"9,869","Mountain View, CA",16,23,9301,61,86, $10+ billion (USD) per year,Work life balance is questionable It s a big company with inexperienced management,It s great they always have free food Very smart people with great work life balance,,GOOG,www.google.com,2009
1040,3.6,66,Whole Foods Market, 1980,3.6,10000+ employees,,, Company - Public (WFM) , 2.5,"1,848","Austin, TX",14,17,7546,69,65, Grocery Stores & Supermarkets,Sometimes unreliable team members I ve known many co workers in different departments who are much happier with their job due to better management team leaders,team members were down to earth awesome company to work for great benefits,,,joinwholefoods.com,2009
479,3.3,90,Northwestern Mutual, Company - Private,3.8,5001 to 10000 employees,, 1857, Brokerage Services, 2.4,"2,609","Milwaukee, WI",13,27,3542,60,64, $10+ billion (USD) per year,Having to call on friends and family 100 commission based you get paid based on how hard you work,Great People flexibile hours and good pay Backed by a giving company who cares about their employees and provide great training and development,,,www.northwesternmutual.com,2009
370,4.6,97,Adobe, Company - Public (ADBE) ,4.1,10000+ employees,, 1982, Computer Hardware & Software, 3.1,"1,072","San Jose, CA",23,15,1141,62,84, $5 to $10 billion (USD) per year,i think there is no cons from my side Some Teams does not acheive work life balance,Awesome company with great work life balance Great benefits and good work life balance,,ADBE,www.adobe.com,2009
117,4.2,92,Netflix, Company - Public (NFLX) ,3.9,1001 to 5000 employees,, 1997, Internet, 2.9,626,"Los Gatos, CA",36,25,881,39,73, $5 to $10 billion (USD) per year,and eventually they will be let go It s just a call center with a fancy name,strong on freedom and responsibility Good pay and people are very smart and driven,,NFLX,www.netflix.com,2009
113,4.8,99,Bain & Company, Company - Private,4.6,5001 to 10000 employees,, 1973, Consulting, 3.6,"1,203","Boston, MA",7,18,2679,75,94, $2 to $5 billion (USD) per year,Client service model can mean long hours Work life balance pode melhorar,Great people amp team A Bainie never lets another Bainie fail World class professional development,,,www.bain.com,2009
228,4.1,89,General Mills, Company - Public (GIS) ,3.7,10000+ employees,, 1866, Food & Beverage Manufacturing, 3.2,718,"Minneapolis, MN",10,17,2100,73,76, $10+ billion (USD) per year,Work life balance can be a challenge in our digital age Decision making tension between region amp local markets hasn t been fully resolved yet,Flexibility in work life balance flexibility great people great opportunities for growth,,GIS,www.generalmills.com,2009
1291,4.0,93,PwC, Company - Private,3.8,10000+ employees,, 1998, Accounting, 2.9,"8,610","New York, NY",9,18,23111,73,79, $5 to $10 billion (USD) per year,they have very long working hours Little focus on work life balance,Great work environment in the company Great people good mentorship culture,,,www.pwc.com,2010
1040,3.6,66,Whole Foods Market, 1980,3.6,10000+ employees,,, Company - Public (WFM) , 2.5,"1,848","Austin, TX",14,17,7546,69,65, Grocery Stores & Supermarkets,Sometimes unreliable team members I ve known many co workers in different departments who are much happier with their job due to better management team leaders,team members were down to earth awesome company to work for great benefits,,,joinwholefoods.com,2010
347,4.1,86,Prudential, Company - Public (PRU) ,3.5,10000+ employees,, 1875, Investment Banking & Asset Management, 2.8,964,"Newark, NJ",17,23,2399,60,66, $10+ billion (USD) per year,Obviously if you re more in it for the work life balance then this is your place Remote location from the main office in Newark,Challenging work combined with great work life balance good benefits with high capacity to improve,,PRU,jobs.prudential.com,2010
326,3.2,54,Harris, 1895,3.4,10000+ employees,,, Company - Public (HRS) , 2.7,327,"Melbourne, FL",13,17,1729,70,60, Aerospace & Defense,Technical opinions from good engineers are largely not considered by upper management Lack of vision senior management lacks sensitivity to business or employee needs,Coworkers 9 80 work schedule department training program good work life balance available Vacation policy,,,www.harris.com,2010
2000,3.6,77,Best Buy, Company - Public (BBY) ,3.8,10000+ employees,, 1966, Consumer Electronics & Appliances Stores, 2.4,"4,511","Richfield, MN",11,20,19817,69,78, $10+ billion (USD) per year,New hires that are scheduled full time only getting 15 25 hours a week for a few months its really harsh Positions are only part time when starting,Great employee discount after 30 days Great discount especially for a college student,,BBY,www.bestbuy.com,2010
595,4.5,93,Intuit, Company - Public (INTU) ,4.3,5001 to 10000 employees,, 1983, Computer Hardware & Software, 3.0,"1,133","Mountain View, CA",24,16,4221,60,86, $2 to $5 billion (USD) per year,Some business units have less work life balance respect Too much pressure for middle management,The company has a good work life balance One of the best companies with great benefits,,INTU,www.intuit.com,2010
519,4.3,96,SAP, Company - Public (SAP) ,4.5,10000+ employees,, 1972, Computer Hardware & Software, 2.9,"2,184","Walldorf, Baden-Württemberg (Germany)",13,13,11340,74,92, $10+ billion (USD) per year,Work life balance sometimes is a problem Honestly no cons for this company,Good work life balance is encouraged Everything is good especially the work environment,,SAP,www.sap.com/careers,2010
331,4.0,82,Cintas, Company - Public (CTAS) ,3.5,10000+ employees,, 1968, Building & Personnel Services, 3.0,"1,099","Cincinnati, OH",28,25,2493,47,62, $5 to $10 billion (USD) per year,Can be long hours if taking over an underperforming team long hours hard work life balance,Very good benefits to go along with a great company great benefits and location details,,CTAS,careers.cintas.com,2010
1625,4.2,83,Intel Corporation, Company - Public (INTC) ,4.0,10000+ employees,, 1968, Computer Hardware & Software, 3.0,"3,558","Santa Clara, CA",7,19,11850,74,80, $10+ billion (USD) per year,But work life balance totally compensates for that Big company gt good for career development but hard to executive your own innovative ideas,It works out because work life balance is very good Great Place To Work with good benefits,,INTC,www.intel.com,2010
225,3.8,71,Rackspace, Company - Private,3.3,5001 to 10000 employees,, 1998, IT Services, 3.2,481,"San Antonio, TX",23,15,1550,62,56, $2 to $5 billion (USD) per year,Some challenges with silos but most Rackers genuinely want to help each other Too many middle management tiers,Frontline Rackers are like family Relevant offerings and great culture,,,www.rackspace.com,2010
428,4.3,87,Travelers, Company - Public (TRV) ,3.8,10000+ employees,, 1853, Insurance Carriers, 3.0,"1,068","Hartford, CT",18,22,2438,60,75, $10+ billion (USD) per year,Work Life Balance is emphasized but many roles don t afford this luxury Primary office location in Hartford,You d expect to get great benefits from a company with 30k employees and you d right Work life balance better than industry,,TRV,www.travelers.com,2010
1284,4.5,83,Kaiser Permanente, Nonprofit Organization,3.9,10000+ employees,, 1945, Health Care Services & Hospitals, 2.9,"1,479","Oakland, CA",14,18,6214,68,77, $10+ billion (USD) per year,Work life balance is not always present in all department upper management is a nightmare part time and full time RNs are always upset,For IT employees Kaiser has great benefits Flexible schedules that provide great work life balance,,,www.kaiserpermanente.org,2010
345,4.2,93,Paychex, Company - Public (PAYX) ,4.0,10000+ employees,, 1971, Enterprise Software & Network Solutions, 3.0,610,"Rochester, NY",27,20,1337,53,79, $2 to $5 billion (USD) per year,work life balance but that doesn t mean the work is stress free Customer service at it s finest,Paychex offers great benefits including a very generous tuition assistance program that you can start using on the second month of employment Work life balance is encouraged,,PAYX,www.paychex.com,2010
225,4.3,83,Turner Broadcasting, Subsidiary or Business Segment,3.9,5001 to 10000 employees,, 1970, TV Broadcast & Cable Networks, 2.8,330,"Atlanta, GA",15,21,1142,64,80, $500 million to $1 billion (USD) per year,Some team s have unrealistic expectations of their employees and it can lead to poor work life balance Some of the tech was decided by upper management with no tech experience,The company has great benefits and great people Incredible culture and work life balance,,,www.turner.com,2010
417,3.9,75,Caterpillar, Company - Public (CAT) ,3.6,10000+ employees,, 1925, Industrial Manufacturing, 3.0,820,"Deerfield, IL",8,21,3546,71,70, $10+ billion (USD) per year,There headquarters is in Peoria Upper upper management was up in the clouds,Good work life balance excellent benefits Great benefits with pretty good pay,,CAT,www.caterpillar.com,2010
356,4.2,85,GlaxoSmithKline, Company - Public (GSK) ,3.8,10000+ employees,, 1830, Biotech & Pharmaceuticals, 3.1,"1,096","Phila, PA",12,19,4338,69,77, $10+ billion (USD) per year,Work life balance could be better Too much political concern on decision making sometimes short sighted decisions were made,Great work life balance this is highly encouraged by the company Collabrotive fun work environment for everyone,,GSK,www.gsk.com,2010
425,4.1,80,Sherwin-Williams, Company - Public (SHW) ,3.6,10000+ employees,, 1866, Consumer Products Manufacturing, 2.5,796,"Cleveland, OH",9,20,3543,71,71, $10+ billion (USD) per year,Long hours work life balance can be rough There s limited help from upper management,Great benefits and growth opportunities Good benefits and 401k employer match,,SHW,www.sherwin-williams.com,2010
711,3.7,88,Booz Allen Hamilton, Company - Public (BAH) ,3.7,10000+ employees,, 1914, Consulting, 2.7,"1,324","Mc Lean, VA",14,17,4689,69,69, $5 to $10 billion (USD) per year,Work life balance is hard to maintain Burns through people by chasing awful work to maintain company revenue after going public,Great people and great work life balance Great benefits and family life balance when needed,,BAH,www.boozallen.com,2010
370,4.6,97,Adobe, Company - Public (ADBE) ,4.1,10000+ employees,, 1982, Computer Hardware & Software, 3.1,"1,072","San Jose, CA",23,15,1141,62,84, $5 to $10 billion (USD) per year,i think there is no cons from my side Some Teams does not acheive work life balance,Awesome company with great work life balance Great benefits and good work life balance,,ADBE,www.adobe.com,2010
442,3.9,54,Schlumberger, Company - Public (SLB) ,3.5,10000+ employees,, 1926, Oil & Gas Services, 2.9,"1,928","Houston, TX",9,18,5203,73,64, $10+ billion (USD) per year,Sometimes your work life balance suffer No life plenty of work never home long hours,Good pay and career opportunities Great work environment people,,SLB,www.slb.com,2010
179,4.2,26,CareerBuilder, Company - Private,2.4,1001 to 5000 employees,, 1995, Internet, 2.7,166,"Chicago, IL",22,17,1163,61,28, $100 to $500 million (USD) per year,Since our leveraged buyout by Apollo Global these reason to work here no longer exist 95 of the sales reps that were in my hiring class are gone,Amazing flexibility and work life balance Great Benefits Great Work Life Balance,,,hiring.careerbuilder.com,2010
775,3.9,63,Qualcomm, Company - Public (QCOM) ,3.8,10000+ employees,, 1985, Computer Hardware & Software, 3.1,"2,019","San Diego, CA",13,24,5039,63,71, $10+ billion (USD) per year,Employee should learn work life balance long hours little growth for non engineer,Good work life balance and we can learn more Good benefits for the employees,,QCOM,www.qualcomm.com,2010
266,3.6,96,Edward Jones, Company - Private,4.0,10000+ employees,, 1922, Investment Banking & Asset Management, 3.1,"1,009","Saint Louis, MO",16,20,2515,64,77, $5 to $10 billion (USD) per year,Hard to build a business from scratch door knocking Get used to Door to door prospecting,We are given an enormous amount of support from our home office Great training for resume building,,,www.edwardjones.com,2010
153,3.9,85,Edelman, Company - Private,3.1,5001 to 10000 employees,, 1952, Advertising & Marketing, 2.9,510,"New York, NY",13,20,912,67,52, $500 million to $1 billion (USD) per year,work life balance can be tough Are there times when you re going to need to work some long hours or endure a heavy week and some weekend work,Great enthusiastic and smart people great work culture flexible and good work life balance,,,www.edelman.com,2010
2303,4.5,91,Apple, Company - Public (AAPL) ,4.0,10000+ employees,, 1976, Computer Hardware & Software, 3.0,"7,031","Cupertino, CA",15,20,14921,65,77, $10+ billion (USD) per year,Work life balance is non existent working in a mall with long hours,Great company with great benefits It s a really fun work environment,,AAPL,www.apple.com,2010
547,3.8,86,FedEx, Company - Public (FDX) ,3.7,10000+ employees,, 1973, Express Delivery Services, 2.5,887,"Memphis, TN",12,18,4438,70,73, $10+ billion (USD) per year,Sometimes you have to work long hours moving heavy boxes Living in Memphis is kind of scary,They emphasize the work life balance Great benefits and work environment,,FDX,www.fedex.com,2010
377,4.2,92,Chevron, Company - Public (CVX) ,4.0,10000+ employees,, 1879, Oil & Gas Exploration & Production, 2.8,618,"San Ramon, CA",7,17,2497,76,82, $10+ billion (USD) per year,Since the down of oil prices they cut down facilities and salaries for intern Work Life Balance was not so easy,Competitve pay with good work life balance Good and standard work environment,,CVX,www.chevron.com,2010
754,4.0,74,Publix, Company - Private,3.7,10000+ employees,, 1930, Grocery Stores & Supermarkets, 1.9,"1,045","Lakeland, FL",9,12,6380,79,71, $10+ billion (USD) per year,very difficult to get full time Sometimes hard to maintain consistent hours as part time,Great company with great benefits Good benefits good work environment good hours pay is decent,,,www.publix.com,2010
447,4.1,87,Medtronic, Company - Public (MDT) ,3.6,10000+ employees,, 1949, Biotech & Pharmaceuticals, 2.9,903,"Dublin, Co. Dublin (Ireland)",18,19,3255,63,71, $10+ billion (USD) per year,As I am in sales so some work life balance Large company with lots of commotion,Had a good home life work life balance Good benefits and compensation package,,MDT,www.medtronic.com,2010
147,4.3,84,FactSet, Company - Public (FDS) ,3.7,5001 to 10000 employees,, 1978, Financial Analytics & Research, 3.0,"1,079","Norwalk, CT",12,23,1529,65,78, $1 to $2 billion (USD) per year,Career growth is one of the drawback This has degraded the company s previous strength in work life balance,Aside from monetary compensation it maintains an excellent work life balance while always presenting challenging work Free lunch and snacks is a nice perk as well,,FDS,www.factset.com,2010
